น้อมเกล้าฯ,น้อมเกล้าน้อมกระหม่อม
พ.อ.พิเศษ,พันเอกพิเศษ
อ.ส.ม.ท.,องค์การสื่อสารมวลชนแห่งประเทศไทย
ส.ป.ส.ท.,สมาคมนักประชาสัมพันธ์แห่งประเทศไทย
กก.ตร.น.,กองกำกับการตำรวจน้ำ
กก.ภ.จว.,กองกำกับการตำรวจภูธรจังหวัด
พล.อ.อ.,พลอากาศเอก
พล.ร.ท.,พลเรือโท
พล.ปตอ.,กองพลทหารปืนใหญ่ต่อสู้อากาศยาน
พล.ร.ต.,พลเรือตรี
กก.ตชด.,กองกำกับการตำรวจตระเวนชายแดน
พล.ต.ต.,พลตำรวจตรี
พล.ต.ท.,พลตำรวจโท
พล.ต.อ.,พลตำรวจเอก
พล.ร.ต.,พลเรือตรี
พล.ร.ท.,พลเรือโท
พล.ร.อ.,พลเรือเอก
พล.อ.ต.,พลอากาศตรี
พล.อ.ท.,พลอากาศโท
พล.ร.อ.,พลเรือเอก
พ.อ.ท.,พันจ่าอากาศโท
พ.อ.อ.,พันจ่าอากาศเอก
พ.อ.ต.,พันจ่าอากาศตรี
ร.ต.ต.,ร้อยตำรวจตรี
ร.ต.ท.,ร้อยตำรวจโท
ร.ต.อ.,ร้อยตำรวจเอก
กง.ทร.,กรมการเงินทหารเรือ
พ.จ.ท.,พันจ่าโท
พ.จ.ต.,พันจ่าตรี
ต.ช.ด.,ตำรวจตระเวนชายแดน
ป.จ.ว.,ปฐมจุลจอมเกล้าวิเศษ
พ.ร.บ.,พระราชบัญญัติ
พ.ร.ฎ.,พระราชกฤษฎีกา
พ.ร.ก.,พระราชกำหนด
ผบก.ภ.,ผู้บังคับการตำรวจภูธร
บ.ด.ท.,บริษัทเดินอากาศไทย จำกัด
ม.ร.ว.,หม่อมราชวงศ์
บีโอไอ,คณะกรรมการส่งเสริมการลงทุน
ส.ภ.อ.,สมาชิกสภาอำเภอ
กง.ทบ.,กรมการเงินทหารบก
ตร.ทล.,ตำรวจทางหลวง
ว.ด.ป.,วัน เดือน ปี
ม.จ.ก.,มหาจักรีบรมราชวงศ์
ร.ม.ภ.,ราชมิตราภรณ์
พ.จ.อ.,พันจ่าเอก
จ.ส.อ.,จ่าสิบเอก
จ.ส.ต.,จ่าสิบตรี
ส.ต.ต.,สิบตำรวจตรี
ส.ต.ท.,สิบตำรวจโท
ส.ต.อ.,สิบตำรวจเอก
น.น.ร.,นักเรียนนายร้อย
จ.ส.ต.,จ่าสิบตำรวจ
จ.ส.ท.,จ่าสิบโท
พ.ต.อ.,พันตำรวจเอก
พ.ต.ท.,พันตำรวจโท
พ.ต.ต.,พันตำรวจตรี
กปปส.,คณะกรรมการประชาชนเพื่อการเปลี่ยนแปลงประเทศไทยให้เป็นประชาธิปไตยที่สมบูรณ์อันมีพระมหากษัตริย์ทรงเป็นประมุข
พล.อ.,พลเอก
สนนท.,สหพันธ์นิสิตนักศึกษาแห่งประเทศไทย
สสวท.,สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี
บช.ภ.,กองบัญชาการตำรวจภูธร
บช.น.,กองบัญชาการตำรวจนครบาล
เม.ย.,เมษายน
อ.ตร.,อธิบดีกรมตำรวจ
มิ.ย.,มิถุนายน
สพ.ญ.,สัตวแพทย์หญิง
